frame,date,site,crow_all,crow_feed,proportion,Sample_Point,food_amount,distance
23,20210213,Food104,0,0,NA,104,18,120
24,20210213,Food104,24,11,0.4583333333333333,104,18,120
25,20210213,Food104,16,6,0.375,104,18,120
26,20210213,Food104,15,9,0.6,104,18,120
27,20210213,Food104,0,0,NA,104,18,120
28,20210213,Food104,14,7,0.5,104,18,120
29,20210213,Food104,15,4,0.26666666666666666,104,18,120
30,20210213,Food104,10,6,0.6,104,18,120
31,20210213,Food104,7,4,0.5714285714285714,104,18,120
32,20210213,Food104,9,3,0.3333333333333333,104,18,120
33,20210213,Food104,10,4,0.4,104,18,120
34,20210213,Food104,6,3,0.5,104,18,120
35,20210213,Food104,3,3,1,104,18,120
36,20210213,Food104,6,3,0.5,104,18,120
37,20210213,Food104,2,1,0.5,104,18,120
38,20210213,Food104,4,1,0.25,104,18,120
39,20210213,Food104,2,1,0.5,104,18,120
40,20210213,Food104,0,0,NA,104,18,120
1,20210213,Food106,22,4,0.18181818181818182,106,6,160
2,20210213,Food106,0,0,NA,106,6,160
3,20210213,Food106,25,8,0.32,106,6,160
4,20210213,Food106,30,9,0.3,106,6,160
5,20210213,Food106,32,8,0.25,106,6,160
6,20210213,Food106,27,6,0.2222222222222222,106,6,160
7,20210213,Food106,26,5,0.19230769230769232,106,6,160
8,20210213,Food106,28,6,0.21428571428571427,106,6,160
9,20210213,Food106,32,7,0.21875,106,6,160
10,20210213,Food106,34,6,0.17647058823529413,106,6,160
11,20210213,Food106,26,8,0.3076923076923077,106,6,160
12,20210213,Food106,28,5,0.17857142857142858,106,6,160
13,20210213,Food106,32,5,0.15625,106,6,160
14,20210213,Food106,0,0,NA,106,6,160
15,20210213,Food106,13,3,0.23076923076923078,106,6,160
16,20210213,Food106,20,5,0.25,106,6,160
17,20210213,Food106,18,6,0.3333333333333333,106,6,160
18,20210213,Food106,20,0,0,106,6,160
19,20210213,Food106,16,6,0.375,106,6,160
20,20210213,Food106,16,6,0.375,106,6,160
21,20210213,Food106,13,8,0.6153846153846154,106,6,160
22,20210213,Food106,12,5,0.4166666666666667,106,6,160
23,20210213,Food106,14,9,0.6428571428571429,106,6,160
24,20210213,Food106,6,4,0.6666666666666666,106,6,160
25,20210213,Food106,7,4,0.5714285714285714,106,6,160
26,20210213,Food106,10,4,0.4,106,6,160
27,20210213,Food106,10,4,0.4,106,6,160
28,20210213,Food106,11,5,0.45454545454545453,106,6,160
29,20210213,Food106,4,1,0.25,106,6,160
30,20210213,Food106,4,2,0.5,106,6,160
31,20210213,Food106,5,1,0.2,106,6,160
32,20210213,Food106,0,0,NA,106,6,160
33,20210213,Food106,5,1,0.2,106,6,160
34,20210213,Food106,3,0,0,106,6,160
35,20210213,Food106,0,0,NA,106,6,160
36,20210213,Food106,0,0,NA,106,6,160
37,20210213,Food106,0,0,NA,106,6,160
38,20210213,Food106,0,0,NA,106,6,160
39,20210213,Food106,0,0,NA,106,6,160
40,20210213,Food106,0,0,NA,106,6,160
1,20210218,Food101,0,0,NA,101,0,40
2,20210218,Food101,0,0,NA,101,0,40
3,20210218,Food101,0,0,NA,101,0,40
4,20210218,Food101,0,0,NA,101,0,40
5,20210218,Food101,0,0,NA,101,0,40
6,20210218,Food101,0,0,NA,101,0,40
7,20210218,Food101,0,0,NA,101,0,40
8,20210218,Food101,0,0,NA,101,0,40
9,20210218,Food101,0,0,NA,101,0,40
10,20210218,Food101,0,0,NA,101,0,40
11,20210218,Food101,0,0,NA,101,0,40
12,20210218,Food101,0,0,NA,101,0,40
13,20210218,Food101,0,0,NA,101,0,40
14,20210218,Food101,0,0,NA,101,0,40
15,20210218,Food101,0,0,NA,101,0,40
16,20210218,Food101,0,0,NA,101,0,40
17,20210218,Food101,0,0,NA,101,0,40
18,20210218,Food101,0,0,NA,101,0,40
19,20210218,Food101,0,0,NA,101,0,40
20,20210218,Food101,0,0,NA,101,0,40
21,20210218,Food101,0,0,NA,101,0,40
22,20210218,Food101,0,0,NA,101,0,40
23,20210218,Food101,0,0,NA,101,0,40
24,20210218,Food101,0,0,NA,101,0,40
25,20210218,Food101,0,0,NA,101,0,40
