frame,date,site,crow_all,crow_feed,proportion
34,20210211,Food102,19,8,0.42105263157894735
35,20210211,Food102,23,10,0.43478260869565216
36,20210211,Food102,17,5,0.29411764705882354
37,20210211,Food102,14,6,0.42857142857142855
38,20210211,Food102,13,8,0.6153846153846154
39,20210211,Food102,13,4,0.3076923076923077
40,20210211,Food102,11,3,0.2727272727272727
1,20210211,Food104,4,1,0.25
2,20210211,Food104,3,0,0
3,20210211,Food104,5,0,0
4,20210211,Food104,5,1,0.2
5,20210211,Food104,3,0,0
6,20210211,Food104,5,1,0.2
7,20210211,Food104,5,0,0
8,20210211,Food104,7,0,0
9,20210211,Food104,5,0,0
10,20210211,Food104,5,0,0
11,20210211,Food104,6,1,0.16666666666666666
12,20210211,Food104,14,2,0.14285714285714285
13,20210211,Food104,15,1,0.06666666666666667
14,20210211,Food104,20,3,0.15
15,20210211,Food104,26,2,0.07692307692307693
16,20210211,Food104,24,4,0.16666666666666666
17,20210211,Food104,22,5,0.22727272727272727
18,20210211,Food104,19,2,0.10526315789473684
19,20210211,Food104,14,3,0.21428571428571427
20,20210211,Food104,12,2,0.16666666666666666
21,20210211,Food104,24,9,0.375
22,20210211,Food104,16,7,0.4375
23,20210211,Food104,20,6,0.3
24,20210211,Food104,22,4,0.18181818181818182
25,20210211,Food104,20,2,0.1
26,20210211,Food104,15,4,0.26666666666666666
27,20210211,Food104,14,6,0.42857142857142855
28,20210211,Food104,14,3,0.21428571428571427
29,20210211,Food104,0,0,NA
30,20210211,Food104,9,3,0.3333333333333333
31,20210211,Food104,8,2,0.25
32,20210211,Food104,7,4,0.5714285714285714
33,20210211,Food104,8,2,0.25
34,20210211,Food104,5,3,0.6
35,20210211,Food104,9,4,0.4444444444444444
36,20210211,Food104,6,3,0.5
37,20210211,Food104,7,5,0.7142857142857143
38,20210211,Food104,5,3,0.6
39,20210211,Food104,5,3,0.6
40,20210211,Food104,3,2,0.6666666666666666
1,20210211,Food106,0,0,NA
2,20210211,Food106,0,0,NA
3,20210211,Food106,0,0,NA
4,20210211,Food106,0,0,NA
5,20210211,Food106,0,0,NA
6,20210211,Food106,0,0,NA
7,20210211,Food106,0,0,NA
8,20210211,Food106,0,0,NA
9,20210211,Food106,0,0,NA
10,20210211,Food106,0,0,NA
11,20210211,Food106,0,0,NA
12,20210211,Food106,0,0,NA
13,20210211,Food106,0,0,NA
14,20210211,Food106,0,0,NA
15,20210211,Food106,0,0,NA
16,20210211,Food106,0,0,NA
17,20210211,Food106,0,0,NA
18,20210211,Food106,0,0,NA
19,20210211,Food106,0,0,NA
20,20210211,Food106,0,0,NA
21,20210211,Food106,0,0,NA
22,20210211,Food106,0,0,NA
23,20210211,Food106,0,0,NA
24,20210211,Food106,0,0,NA
25,20210211,Food106,0,0,NA
26,20210211,Food106,0,0,NA
27,20210211,Food106,0,0,NA
28,20210211,Food106,0,0,NA
29,20210211,Food106,0,0,NA
30,20210211,Food106,0,0,NA
31,20210211,Food106,0,0,NA
32,20210211,Food106,0,0,NA
33,20210211,Food106,0,0,NA
34,20210211,Food106,0,0,NA
35,20210211,Food106,0,0,NA
36,20210211,Food106,0,0,NA
37,20210211,Food106,0,0,NA
38,20210211,Food106,0,0,NA
39,20210211,Food106,0,0,NA
40,20210211,Food106,0,0,NA
1,20210212,Food101,0,0,NA
2,20210212,Food101,0,0,NA
3,20210212,Food101,0,0,NA
4,20210212,Food101,0,0,NA
5,20210212,Food101,0,0,NA
6,20210212,Food101,0,0,NA
7,20210212,Food101,0,0,NA
8,20210212,Food101,0,0,NA
9,20210212,Food101,0,0,NA
10,20210212,Food101,0,0,NA
11,20210212,Food101,0,0,NA
12,20210212,Food101,0,0,NA
13,20210212,Food101,0,0,NA
14,20210212,Food101,0,0,NA
15,20210212,Food101,0,0,NA
16,20210212,Food101,0,0,NA
17,20210212,Food101,0,0,NA
18,20210212,Food101,0,0,NA
19,20210212,Food101,0,0,NA
20,20210212,Food101,0,0,NA
21,20210212,Food101,0,0,NA
22,20210212,Food101,0,0,NA
23,20210212,Food101,0,0,NA
24,20210212,Food101,0,0,NA
25,20210212,Food101,0,0,NA
26,20210212,Food101,0,0,NA
27,20210212,Food101,0,0,NA
28,20210212,Food101,0,0,NA
29,20210212,Food101,0,0,NA
30,20210212,Food101,0,0,NA
31,20210212,Food101,0,0,NA
32,20210212,Food101,0,0,NA
33,20210212,Food101,0,0,NA
34,20210212,Food101,0,0,NA
35,20210212,Food101,0,0,NA
36,20210212,Food101,0,0,NA
37,20210212,Food101,0,0,NA
38,20210212,Food101,0,0,NA
39,20210212,Food101,0,0,NA
40,20210212,Food101,0,0,NA
1,20210212,Food102,0,0,NA
2,20210212,Food102,0,0,NA
3,20210212,Food102,0,0,NA
4,20210212,Food102,0,0,NA
5,20210212,Food102,0,0,NA
6,20210212,Food102,0,0,NA
7,20210212,Food102,0,0,NA
8,20210212,Food102,0,0,NA
9,20210212,Food102,0,0,NA
10,20210212,Food102,0,0,NA
11,20210212,Food102,0,0,NA
12,20210212,Food102,0,0,NA
13,20210212,Food102,0,0,NA
14,20210212,Food102,0,0,NA
15,20210212,Food102,0,0,NA
16,20210212,Food102,0,0,NA
17,20210212,Food102,0,0,NA
18,20210212,Food102,0,0,NA
19,20210212,Food102,0,0,NA
20,20210212,Food102,0,0,NA
21,20210212,Food102,0,0,NA
22,20210212,Food102,0,0,NA
23,20210212,Food102,0,0,NA
24,20210212,Food102,0,0,NA
25,20210212,Food102,0,0,NA
26,20210212,Food102,0,0,NA
27,20210212,Food102,0,0,NA
28,20210212,Food102,0,0,NA
29,20210212,Food102,0,0,NA
30,20210212,Food102,0,0,NA
31,20210212,Food102,0,0,NA
32,20210212,Food102,0,0,NA
33,20210212,Food102,0,0,NA
34,20210212,Food102,0,0,NA
35,20210212,Food102,0,0,NA
36,20210212,Food102,0,0,NA
37,20210212,Food102,0,0,NA
38,20210212,Food102,0,0,NA
39,20210212,Food102,0,0,NA
40,20210212,Food102,0,0,NA
1,20210212,Food104,0,0,NA
2,20210212,Food104,0,0,NA
3,20210212,Food104,0,0,NA
4,20210212,Food104,0,0,NA
5,20210212,Food104,0,0,NA
6,20210212,Food104,0,0,NA
7,20210212,Food104,0,0,NA
8,20210212,Food104,0,0,NA
9,20210212,Food104,0,0,NA
10,20210212,Food104,0,0,NA
11,20210212,Food104,0,0,NA
12,20210212,Food104,0,0,NA
13,20210212,Food104,0,0,NA
14,20210212,Food104,0,0,NA
15,20210212,Food104,0,0,NA
16,20210212,Food104,0,0,NA
17,20210212,Food104,0,0,NA
18,20210212,Food104,0,0,NA
19,20210212,Food104,0,0,NA
20,20210212,Food104,0,0,NA
21,20210212,Food104,0,0,NA
22,20210212,Food104,0,0,NA
23,20210212,Food104,0,0,NA
24,20210212,Food104,0,0,NA
25,20210212,Food104,0,0,NA
26,20210212,Food104,0,0,NA
27,20210212,Food104,0,0,NA
28,20210212,Food104,0,0,NA
29,20210212,Food104,0,0,NA
30,20210212,Food104,0,0,NA
31,20210212,Food104,0,0,NA
32,20210212,Food104,0,0,NA
33,20210212,Food104,0,0,NA
34,20210212,Food104,0,0,NA
35,20210212,Food104,0,0,NA
36,20210212,Food104,0,0,NA
37,20210212,Food104,0,0,NA
38,20210212,Food104,0,0,NA
39,20210212,Food104,0,0,NA
40,20210212,Food104,0,0,NA
1,20210212,Food106,0,0,NA
2,20210212,Food106,0,0,NA
3,20210212,Food106,0,0,NA
4,20210212,Food106,0,0,NA
5,20210212,Food106,0,0,NA
6,20210212,Food106,1,0,0
7,20210212,Food106,0,0,NA
8,20210212,Food106,3,1,0.3333333333333333
9,20210212,Food106,6,0,0
10,20210212,Food106,0,0,NA
11,20210212,Food106,0,0,NA
12,20210212,Food106,7,1,0.14285714285714285
13,20210212,Food106,7,1,0.14285714285714285
14,20210212,Food106,0,0,NA
15,20210212,Food106,0,0,NA
16,20210212,Food106,0,0,NA
17,20210212,Food106,0,0,NA
18,20210212,Food106,0,0,NA
19,20210212,Food106,0,0,NA
20,20210212,Food106,14,0,0
21,20210212,Food106,12,5,0.4166666666666667
22,20210212,Food106,0,0,NA
23,20210212,Food106,13,5,0.38461538461538464
24,20210212,Food106,0,0,NA
25,20210212,Food106,19,9,0.47368421052631576
26,20210212,Food106,17,15,0.8823529411764706
27,20210212,Food106,16,4,0.25
28,20210212,Food106,14,11,0.7857142857142857
29,20210212,Food106,15,8,0.5333333333333333
